Param_THW,Param_wn,Param_zeta,MAE,JerkVar,SettleTime,SSE,Mean_Accel,Mean_THW
1.0,0.4,0.7,0.1511,0.0122,4.70s,0.0409,-0.0342,1.1429
1.5,0.4,0.7,0.3819,0.0845,10.00s,0.0957,-0.3257,1.3086
2.0,0.4,0.7,0.6235,0.2411,10.00s,0.2525,-0.5944,1.4487
1.0,0.8,0.7,0.3400,0.2975,2.50s,0.0087,-0.1006,1.0800
1.5,0.8,0.7,0.5849,0.4388,2.90s,0.0069,-0.2919,1.4061
2.0,0.8,0.7,1.1159,1.5088,3.90s,0.0206,-0.5807,1.6762
1.0,1.4,0.7,0.6598,1.8550,1.60s,0.0017,-0.1582,1.0534
1.5,1.4,0.7,0.7586,1.4414,1.90s,0.0021,-0.2297,1.4395
2.0,1.4,0.7,1.6891,4.1294,2.60s,0.0246,-0.4221,1.7776
1.0,0.4,1.0,0.1722,0.0114,10.00s,0.0853,-0.0631,1.1660
1.5,0.4,1.0,0.3687,0.0855,10.00s,0.1208,-0.2936,1.3033
2.0,0.4,1.0,0.5578,0.2109,10.00s,0.3512,-0.5068,1.4165
1.0,0.8,1.0,0.2178,0.1624,3.60s,0.0229,-0.0777,1.1104
1.5,0.8,1.0,0.5074,0.3767,3.90s,0.0254,-0.2914,1.3822
2.0,0.8,1.0,0.9017,1.1422,10.00s,0.0906,-0.5556,1.6013
1.0,1.4,1.0,0.4452,1.1670,2.20s,0.0031,-0.1210,1.0734
1.5,1.4,1.0,0.6149,1.0742,2.40s,0.0033,-0.2567,1.4206
2.0,1.4,1.0,1.1846,2.7993,4.00s,0.0166,-0.5114,1.6916
1.0,0.4,1.5,0.2061,0.0166,10.00s,0.1316,-0.0898,1.1917
1.5,0.4,1.5,0.3508,0.0875,10.00s,0.1475,-0.2617,1.2968
2.0,0.4,1.5,0.4852,0.1797,10.00s,0.4507,-0.4201,1.3814
1.0,0.8,1.5,0.1710,0.0711,10.00s,0.0652,-0.0720,1.1450
1.5,0.8,1.5,0.4417,0.3253,10.00s,0.0648,-0.2812,1.3565
2.0,0.8,1.5,0.7167,0.8377,10.00s,0.2215,-0.5082,1.5226
1.0,1.4,1.5,0.2803,0.6409,3.50s,0.0226,-0.0903,1.1016
1.5,1.4,1.5,0.5173,0.8087,3.60s,0.0229,-0.2743,1.3955
2.0,1.4,1.5,0.9195,1.8501,10.00s,0.0889,-0.5296,1.6204
